info_id,info_style,info_availability,info_abv,info_notes
0,English Oatmeal Stout                                                                               , Rotating                                                                                           ,7.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1,Russian Imperial Stout                                                                              , Rotating                                                                                           ,10.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2,Scottish Ale                                                                                        , Year-round                                                                                         ,4.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3,American Imperial Stout                                                                             , Winter                                                                                             ,8.7,Every time this year                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4,American Cream Ale                                                                                  , Rotating                                                                                           ,5.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
5,Japanese Rice Lager                                                                                 , Limited (brewed once)                                                                              ,5.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
6,American Lager                                                                                      , Year-round                                                                                         ,5.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
7,American IPA                                                                                        , Rotating                                                                                           ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
8,American Lager                                                                                      , Rotating                                                                                           ,4.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
9,German Bock                                                                                         , Rotating                                                                                           ,7.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10,English Stout                                                                                       , Limited (brewed once)                                                                              ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
11,English Bitter                                                                                      , Rotating                                                                                           ,3.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
12,Belgian Witbier                                                                                     , Year-round                                                                                         ,4.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
13,American Strong Ale                                                                                 , Limited (brewed once)                                                                              ,11.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
14,American Pale Wheat Ale                                                                             , Spring                                                                                             ,6.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
15,Berliner Weisse                                                                                     , Rotating                                                                                           ,4.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
16,American Pale Ale (APA)                                                                             , Limited (brewed once)                                                                              ,5.2,"This hazy pale ale is brewed with fresh Cascade, Centennial, and Chinook hops from Sky High Hops. It is then dry hopped heavily with Cascade and Chinook.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
17,American Pale Ale (APA)                                                                             , Rotating                                                                                           ,5.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
18,British Barleywine                                                                                  , Year-round                                                                                         ,9.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
19,American Black Ale                                                                                  , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
20,Baltic Porter                                                                                       , Year-round                                                                                         ,7.4,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
21,American Adjunct Lager                                                                              , Year-round                                                                                         ,2.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
22,European Pale Lager                                                                                 , Year-round                                                                                         ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
23,American Porter                                                                                     , Rotating                                                                                           ,5.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
24,Fruit and Field Beer                                                                                , Limited (brewed once)                                                                              ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
25,American Adjunct Lager                                                                              , Year-round                                                                                         ,4.7,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
26,American Imperial IPA                                                                               , Limited (brewed once)                                                                              ,8.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
27,American Wild Ale                                                                                   , Limited (brewed once)                                                                              ,8.1,Sour ale that is aged in Tequila barrels with lime zest and salt.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
28,American Black Ale                                                                                  , Limited (brewed once)                                                                              ,7.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
29,Irish Red Ale                                                                                       , Rotating                                                                                           ,5.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
30,Fruit and Field Beer                                                                                , Rotating                                                                                           ,4.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
31,English Pale Ale                                                                                    , Rotating                                                                                           ,5.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
32,American Amber / Red Lager                                                                          , Limited (brewed once)                                                                              ,1.7,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
33,American Imperial Stout                                                                             , Year-round                                                                                         ,10.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
34,Belgian Saison                                                                                      , Rotating                                                                                           ,5.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
35,American IPA                                                                                        , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
36,Belgian IPA                                                                                         , Limited (brewed once)                                                                              ,9.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
37,Rye Beer                                                                                            , Limited (brewed once)                                                                              ,4.5,"Deep amber with tan foam. Fragrance of spicy rye, caramelized raisins and toasted fall spices. Flavors are reminiscent of freshly baked cinnamon raisin bread, light bodied and refreshing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
